service_id,date,exception_type
"766_55899","20160402","1"
"766_55899","20160409","1"
"766_55899","20160416","1"
"766_55899","20160423","1"
"766_55899","20160430","1"
"766_55899","20160507","1"
"766_55899","20160514","1"
"766_55900","20160320","1"
"766_55900","20160327","1"
"766_55900","20160328","1"
"766_55900","20160403","1"
"766_55900","20160410","1"
"766_55900","20160417","1"
"766_55900","20160424","1"
"766_55900","20160425","1"
"766_55900","20160508","1"
"766_55918","20160314","1"
"766_55918","20160315","1"
"766_55918","20160316","1"
"766_55918","20160317","1"
"766_55918","20160318","1"
"766_55918","20160321","1"
"766_55918","20160322","1"
"766_55918","20160323","1"
"766_55918","20160329","1"
"766_55918","20160330","1"
"766_55918","20160331","1"
"766_55918","20160401","1"
"766_55918","20160404","1"
"766_55918","20160405","1"
"766_55918","20160406","1"
"766_55918","20160407","1"
"766_55918","20160408","1"
"766_55918","20160411","1"
"766_55918","20160412","1"
"766_55918","20160413","1"
"766_55918","20160414","1"
"766_55918","20160415","1"
"766_55918","20160418","1"
"766_55918","20160419","1"
"766_55918","20160420","1"
"766_55918","20160421","1"
"766_55918","20160422","1"
"766_55918","20160426","1"
"766_55918","20160427","1"
"766_55918","20160428","1"
"766_55918","20160429","1"
"766_55918","20160502","1"
"766_55918","20160503","1"
"766_55918","20160504","1"
"766_55918","20160505","1"
"766_55918","20160506","1"
"766_55918","20160509","1"
"766_55918","20160510","1"
"766_55918","20160511","1"
"766_55918","20160512","1"
"766_55918","20160513","1"
"766_55919","20160319","1"
"766_55919","20160326","1"
"766_55919","20160402","1"
"766_55919","20160409","1"
"766_55919","20160416","1"
"766_55919","20160423","1"
"766_55919","20160430","1"
"766_55919","20160507","1"
"766_55919","20160514","1"
"766_55949","20160314","1"
"766_55949","20160315","1"
"766_55949","20160316","1"
"766_55949","20160317","1"
"766_55949","20160318","1"
"766_55949","20160321","1"
"766_55949","20160322","1"
"766_55949","20160323","1"
"766_55949","20160329","1"
"766_55949","20160330","1"
"766_55949","20160331","1"
"766_55949","20160401","1"
"766_55949","20160404","1"
"766_55949","20160405","1"
"766_55949","20160406","1"
"766_55949","20160407","1"
"766_55949","20160408","1"
"766_55949","20160411","1"
"766_55949","20160412","1"
"766_55949","20160413","1"
"766_55949","20160414","1"
"766_55949","20160415","1"
"766_55949","20160418","1"
"766_55949","20160419","1"
"766_55949","20160420","1"
"766_55949","20160421","1"
"766_55949","20160422","1"
"766_55949","20160426","1"
"766_55949","20160427","1"
"766_55949","20160428","1"
"766_55949","20160429","1"
"766_55949","20160502","1"
"766_55949","20160503","1"
"766_55949","20160504","1"
"766_55949","20160505","1"
"766_55949","20160506","1"
"766_55949","20160509","1"
"766_55949","20160510","1"
"766_55949","20160511","1"
"766_55949","20160512","1"
"766_55949","20160513","1"
"766_55950","20160319","1"
"766_55950","20160324","1"
"766_55950","20160325","1"
"766_55950","20160326","1"
"766_55950","20160402","1"
"766_55950","20160409","1"
"766_55950","20160416","1"
"766_55950","20160423","1"
"766_55950","20160430","1"
"766_55950","20160507","1"
"766_55950","20160514","1"
"766_55952","20160319","1"
"766_55952","20160326","1"
"766_55952","20160402","1"
"766_55952","20160409","1"
"766_55952","20160416","1"
"766_55952","20160423","1"
"766_55952","20160430","1"
"766_55952","20160507","1"
"766_55952","20160514","1"
"766_56164","20160324","1"
"766_56164","20160325","1"
"766_56483","20160324","1"
"766_56483","20160325","1"
"766_56715","20160314","1"
"766_56715","20160315","1"
"766_56715","20160316","1"
"766_56715","20160317","1"
