route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"649","MOBILITA","649","","3","FFFFFF","000000"
"650","MOBILITA","650","","3","FFFFFF","000000"
"654","MOBILITA","654","","3","FFFFFF","000000"
"657","MOBILITA","657","","3","FFFFFF","000000"
"660","MOBILITA","660","","3","FFFFFF","000000"
"662","MOBILITA","662","","3","FFFFFF","000000"
"663","MOBILITA","663","","3","FFFFFF","000000"
"664","MOBILITA","664","","3","FFFFFF","000000"
"665","MOBILITA","665","","3","FFFFFF","000000"
"669","MOBILITA","669","","3","FFFFFF","000000"
"670","MOBILITA","670","","3","FFFFFF","000000"
"671","MOBILITA","671","","3","FFFFFF","000000"
"673","MOBILITA","673","","3","FFFFFF","000000"
"69","MOBILITA","69","","3","FFFFFF","000000"
"70","MOBILITA","70","","3","FFFFFF","000000"
"700","MOBILITA","700","","3","FFFFFF","000000"
"701","MOBILITA","701","","3","FFFFFF","000000"
"701L","MOBILITA","701L","","3","FFFFFF","000000"
"702","MOBILITA","702","","3","FFFFFF","000000"
"703","MOBILITA","703","","3","FFFFFF","000000"
"703L","MOBILITA","703L","","3","FFFFFF","000000"
"705","MOBILITA","705","","3","FFFFFF","000000"
"706","MOBILITA","706","","3","FFFFFF","000000"
"707","MOBILITA","707","","3","FFFFFF","000000"
"708","MOBILITA","708","","3","FFFFFF","000000"
"709","MOBILITA","709","","3","FFFFFF","000000"
"71","MOBILITA","71","","3","FFFFFF","000000"
"710","MOBILITA","710","","3","FFFFFF","000000"
"711","MOBILITA","711","","3","FFFFFF","000000"
"714","MOBILITA","714","","3","FFFFFF","000000"
"715","MOBILITA","715","","3","FFFFFF","000000"
"716","MOBILITA","716","","3","FFFFFF","000000"
"717","MOBILITA","717","","3","FFFFFF","000000"
"719","MOBILITA","719","","3","FFFFFF","000000"
"720","MOBILITA","720","","3","FFFFFF","000000"
"721","MOBILITA","721","","3","FFFFFF","000000"
"722","MOBILITA","722","","3","FFFFFF","000000"
"723","MOBILITA","723","","3","FFFFFF","000000"
"731","MOBILITA","731","","3","FFFFFF","000000"
"75","MOBILITA","75","","3","FFFFFF","000000"
"762","MOBILITA","762","","3","FFFFFF","000000"
"763","MOBILITA","763","","3","FFFFFF","000000"
"764","MOBILITA","764","","3","FFFFFF","000000"
"765","MOBILITA","765","","3","FFFFFF","000000"
"766","MOBILITA","766","","3","FFFFFF","000000"
"767","MOBILITA","767","","3","FFFFFF","000000"
"769","MOBILITA","769","","3","FFFFFF","000000"
"771","MOBILITA","771","","3","FFFFFF","000000"
"772","MOBILITA","772","","3","FFFFFF","000000"
"773","MOBILITA","773","","3","FFFFFF","000000"
"774","MOBILITA","774","","3","FFFFFF","000000"
"775","MOBILITA","775","","3","FFFFFF","000000"
"776","MOBILITA","776","","3","FFFFFF","000000"
"777","MOBILITA","777","","3","FFFFFF","000000"
"778","MOBILITA","778","","3","FFFFFF","000000"
"779","MOBILITA","779","","3","FFFFFF","000000"
"780","MOBILITA","780","","3","FFFFFF","000000"
"781","MOBILITA","781","","3","FFFFFF","000000"
"785","MOBILITA","785","","3","FFFFFF","000000"
"786","MOBILITA","786","","3","FFFFFF","000000"
"786F","MOBILITA","786F","","3","FFFFFF","000000"
"787","MOBILITA","787","","3","FFFFFF","000000"
"788","MOBILITA","788","","3","FFFFFF","000000"
"789","MOBILITA","789","","3","FFFFFF","000000"
"791","MOBILITA","791","","3","FFFFFF","000000"
"792","MOBILITA","792","","3","FFFFFF","000000"
"797","MOBILITA","797","","3","FFFFFF","000000"
"8","MOBILITA","8","","0","FFFFFF","000000"
"80","MOBILITA","80","","3","FFFFFF","000000"
"808","MOBILITA","808","","3","FFFFFF","000000"
"81","MOBILITA","81","","3","FFFFFF","000000"
"82","MOBILITA","82","","3","FFFFFF","000000"
"83","MOBILITA","83","","3","FFFFFF","000000"
"85","MOBILITA","85","","3","FFFFFF","000000"
"86","MOBILITA","86","","3","FFFFFF","000000"
"87","MOBILITA","87","","3","FFFFFF","000000"
"870","MOBILITA","870","","3","FFFFFF","000000"
"871","MOBILITA","871","","3","FFFFFF","000000"
"88","MOBILITA","88","","3","FFFFFF","000000"
"881","MOBILITA","881","","3","FFFFFF","000000"
"889","MOBILITA","889","","3","FFFFFF","000000"
"89","MOBILITA","89","","3","FFFFFF","000000"
"892","MOBILITA","892","","3","FFFFFF","000000"
"90","MOBILITA","90","","3","FFFFFF","000000"
"904","MOBILITA","904","","3","FFFFFF","000000"
"905","MOBILITA","905","","3","FFFFFF","000000"
"906","MOBILITA","906","","3","FFFFFF","000000"
"907","MOBILITA","907","","3","FFFFFF","000000"
"908","MOBILITA","908","","3","FFFFFF","000000"
"910","MOBILITA","910","","3","FFFFFF","000000"
"911","MOBILITA","911","","3","FFFFFF","000000"
"912","MOBILITA","912","","3","FFFFFF","000000"
"913","MOBILITA","913","","3","FFFFFF","000000"
"914","MOBILITA","914","","3","FFFFFF","000000"
"916","MOBILITA","916","","3","FFFFFF","000000"
"916F","MOBILITA","916F","","3","FFFFFF","000000"
"92","MOBILITA","92","","3","FFFFFF","000000"
"93","MOBILITA","93","","3","FFFFFF","000000"
"98","MOBILITA","98","","3","FFFFFF","000000"
"980","MOBILITA","980","","3","FFFFFF","000000"
"981","MOBILITA","981","","3","FFFFFF","000000"
"982","MOBILITA","982","","3","FFFFFF","000000"
"983","MOBILITA","983","","3","FFFFFF","000000"
"985","MOBILITA","985","","3","FFFFFF","000000"
"98F","MOBILITA","98F","","3","FFFFFF","000000"
"990","MOBILITA","990","","3","FFFFFF","000000"
"992","MOBILITA","992","","3","FFFFFF","000000"
"993","MOBILITA","993","","3","FFFFFF","000000"
"998","MOBILITA","998","","3","FFFFFF","000000"
"999","MOBILITA","999","","3","FFFFFF","000000"
"A01","MOBILITA","A01","","3","FFFFFF","000000"
"A05","MOBILITA","A05","","3","FFFFFF","000000"
"A06","MOBILITA","A06","","3","FFFFFF","000000"
"A07","MOBILITA","A07","","3","FFFFFF","000000"
"A10","MOBILITA","A10","","3","FFFFFF","000000"
"A50","MOBILITA","A50","","3","FFFFFF","000000"
"A60","MOBILITA","A60","","3","FFFFFF","000000"
"A70","MOBILITA","A70","","3","FFFFFF","000000"
"C01","MOBILITA","C01","","3","FFFFFF","000000"
"C02","MOBILITA","C02","","3","FFFFFF","000000"
"C03","MOBILITA","C03","","3","FFFFFF","000000"
"C1","MOBILITA","C1","","3","FFFFFF","000000"
"C10","MOBILITA","C10","","3","FFFFFF","000000"
"C11","MOBILITA","C11","","3","FFFFFF","000000"
"C13","MOBILITA","C13","","3","FFFFFF","000000"
"C19","MOBILITA","C19","","3","FFFFFF","000000"
"C2","MOBILITA","C2","","3","FFFFFF","000000"
"C20","MOBILITA","C20","","3","FFFFFF","000000"
"C26","MOBILITA","C26","","3","FFFFFF","000000"
"C3","MOBILITA","C3","","3","FFFFFF","000000"
"C30","MOBILITA","C30","","3","FFFFFF","000000"
"C4","MOBILITA","C4","","3","FFFFFF","000000"
"C5","MOBILITA","C5","","3","FFFFFF","000000"
"C6","MOBILITA","C6","","3","FFFFFF","000000"
"C7","MOBILITA","C7","","3","FFFFFF","000000"
"C8","MOBILITA","C8","","3","FFFFFF","000000"
"C9","MOBILITA","C9","","3","FFFFFF","000000"
"FC1","MOBILITA","FC1","","2","FFFFFF","000000"
"FC2","MOBILITA","FC2","","2","FFFFFF","000000"
"FC3","MOBILITA","FC3","","2","FFFFFF","000000"
"FL1","MOBILITA","FL1","","2","FFFFFF","000000"
"FL2","MOBILITA","FL2","","2","FFFFFF","000000"
"FL3","MOBILITA","FL3","","2","FFFFFF","000000"
"FL4","MOBILITA","FL4","","2","FFFFFF","000000"
"FL5","MOBILITA","FL5","","2","FFFFFF","000000"
"FL6","MOBILITA","FL6","","2","FFFFFF","000000"
"FL7","MOBILITA","FL7","","2","FFFFFF","000000"
"FL8","MOBILITA","FL8","","2","FFFFFF","000000"
"G03","MOBILITA","G03","","3","FFFFFF","000000"
"G04","MOBILITA","G04","","3","FFFFFF","000000"
"G05","MOBILITA","G05","","3","FFFFFF","000000"
"G06","MOBILITA","G06","","3","FFFFFF","000000"
"G07","MOBILITA","G07","","3","FFFFFF","000000"
"G30","MOBILITA","G30","","3","FFFFFF","000000"
"G40","MOBILITA","G40","","3","FFFFFF","000000"
"G50","MOBILITA","G50","","3","FFFFFF","000000"
"G60","MOBILITA","G60","","3","FFFFFF","000000"
"G70","MOBILITA","G70","","3","FFFFFF","000000"
"H","MOBILITA","H","","3","FFFFFF","000000"
"L01","MOBILITA","L01","","3","FFFFFF","000000"
"L02","MOBILITA","L02","","3","FFFFFF","000000"
"L03","MOBILITA","L03","","3","FFFFFF","000000"
"L04","MOBILITA","L04","","3","FFFFFF","000000"
"L05","MOBILITA","L05","","3","FFFFFF","000000"
"L06","MOBILITA","L06","","3","FFFFFF","000000"
"L07","MOBILITA","L07","","3","FFFFFF","000000"
"L08","MOBILITA","L08","","3","FFFFFF","000000"
"L10","MOBILITA","L10","","3","FFFFFF","000000"
"L20","MOBILITA","L20","","3","FFFFFF","000000"
"L30","MOBILITA","L30","","3","FFFFFF","000000"
"L40","MOBILITA","L40","","3","FFFFFF","000000"
"L50","MOBILITA","L50","","3","FFFFFF","000000"
"L60","MOBILITA","L60","","3","FFFFFF","000000"
"L70","MOBILITA","L70","","3","FFFFFF","000000"
"L80","MOBILITA","L80","","3","FFFFFF","000000"
"LE","MOBILITA","LE","","3","FFFFFF","000000"
"M02","MOBILITA","M02","","3","FFFFFF","000000"
"M03","MOBILITA","M03","","3","FFFFFF","000000"
"M04","MOBILITA","M04","","3","FFFFFF","000000"
"M05","MOBILITA","M05","","3","FFFFFF","000000"
"M20","MOBILITA","M20","","3","FFFFFF","000000"
"M30","MOBILITA","M30","","3","FFFFFF","000000"
"M50","MOBILITA","M50","","3","FFFFFF","000000"
"MEA","MOBILITA","MEA","","1","FFFFFF","000000"
"MEB","MOBILITA","MEB","","1","FFFFFF","000000"
"MEB1","MOBILITA","MEB1","","1","FFFFFF","000000"
"MEC","MOBILITA","MEC","","1","FFFFFF","000000"
"N1","MOBILITA","N1","","3","FFFFFF","000000"
"N10","MOBILITA","N10","","3","FFFFFF","000000"
"N11","MOBILITA","N11","","3","FFFFFF","000000"
"N12","MOBILITA","N12","","3","FFFFFF","000000"
"N13","MOBILITA","N13","","3","FFFFFF","000000"
"N14","MOBILITA","N14","","3","FFFFFF","000000"
"N15","MOBILITA","N15","","3","FFFFFF","000000"
"N16","MOBILITA","N16","","3","FFFFFF","000000"
"N17","MOBILITA","N17","","3","FFFFFF","000000"
"N18","MOBILITA","N18","","3","FFFFFF","000000"
"N19","MOBILITA","N19","","3","FFFFFF","000000"
"N2","MOBILITA","N2","","3","FFFFFF","000000"
"N20","MOBILITA","N20","","3","FFFFFF","000000"
"N21","MOBILITA","N21","","3","FFFFFF","000000"
"N22","MOBILITA","N22","","3","FFFFFF","000000"
"N23","MOBILITA","N23","","3","FFFFFF","000000"
"N24","MOBILITA","N24","","3","FFFFFF","000000"
"N25","MOBILITA","N25","","3","FFFFFF","000000"
"N26","MOBILITA","N26","","3","FFFFFF","000000"
"N27","MOBILITA","N27","","3","FFFFFF","000000"
"N28","MOBILITA","N28","","3","FFFFFF","000000"
"N2L","MOBILITA","N2L","","3","FFFFFF","000000"
"N2P","MOBILITA","N2P","","3","FFFFFF","000000"
"N3","MOBILITA","N3","","3","FFFFFF","000000"
"N4","MOBILITA","N4","","3","FFFFFF","000000"
"N5","MOBILITA","N5","","3","FFFFFF","000000"
"N6","MOBILITA","N6","","3","FFFFFF","000000"
"N7","MOBILITA","N7","","3","FFFFFF","000000"
"N8","MOBILITA","N8","","3","FFFFFF","000000"
"N9","MOBILITA","N9","","3","FFFFFF","000000"
"P02","MOBILITA","P02","","3","FFFFFF","000000"
"P03","MOBILITA","P03","","3","FFFFFF","000000"
"P10","MOBILITA","P10","","3","FFFFFF","000000"
"P20","MOBILITA","P20","","3","FFFFFF","000000"
"P30","MOBILITA","P30","","3","FFFFFF","000000"
"T01","MOBILITA","T01","","3","FFFFFF","000000"
"T02","MOBILITA","T02","","3","FFFFFF","000000"
"T10","MOBILITA","T10","","3","FFFFFF","000000"
"T20","MOBILITA","T20","","3","FFFFFF","000000"
